FIPS,Datetime,Cases
1001,2020-03-25 12:03:00,1
1003,2020-03-25 12:03:00,4
1015,2020-03-25 12:03:00,2
1017,2020-03-25 12:03:00,5
1043,2020-03-25 12:03:00,3
1051,2020-03-25 12:03:00,8
1059,2020-03-25 12:03:00,1
1069,2020-03-25 12:03:00,1
1071,2020-03-25 12:03:00,2
1073,2020-03-25 12:03:00,91
1075,2020-03-25 12:03:00,1
1077,2020-03-25 12:03:00,3
1081,2020-03-25 12:03:00,26
1083,2020-03-25 12:03:00,4
1089,2020-03-25 12:03:00,21
1093,2020-03-25 12:03:00,1
1097,2020-03-25 12:03:00,6
1101,2020-03-25 12:03:00,9
1103,2020-03-25 12:03:00,2
1117,2020-03-25 12:03:00,27
1115,2020-03-25 12:03:00,4
1121,2020-03-25 12:03:00,2
1123,2020-03-25 12:03:00,2
1125,2020-03-25 12:03:00,10
1127,2020-03-25 12:03:00,5
1129,2020-03-25 12:03:00,1
2020,2020-03-25 12:03:00,17
4001,2020-03-25 12:03:00,4
4003,2020-03-25 12:03:00,1
4005,2020-03-25 12:03:00,18
4009,2020-03-25 12:03:00,2
4013,2020-03-25 12:03:00,199
4017,2020-03-25 12:03:00,32
4019,2020-03-25 12:03:00,42
4021,2020-03-25 12:03:00,22
4023,2020-03-25 12:03:00,1
4025,2020-03-25 12:03:00,3
4027,2020-03-25 12:03:00,2
5007,2020-03-25 12:03:00,3
5009,2020-03-25 12:03:00,1
5011,2020-03-25 12:03:00,4
5019,2020-03-25 12:03:00,6
5023,2020-03-25 12:03:00,34
5025,2020-03-25 12:03:00,3
5027,2020-03-25 12:03:00,1
5029,2020-03-25 12:03:00,1
5031,2020-03-25 12:03:00,3
5033,2020-03-25 12:03:00,1
5035,2020-03-25 12:03:00,3
5037,2020-03-25 12:03:00,1
5041,2020-03-25 12:03:00,2
5045,2020-03-25 12:03:00,17
5051,2020-03-25 12:03:00,11
5053,2020-03-25 12:03:00,3
5055,2020-03-25 12:03:00,3
5057,2020-03-25 12:03:00,1
5063,2020-03-25 12:03:00,3
5069,2020-03-25 12:03:00,21
5075,2020-03-25 12:03:00,1
5079,2020-03-25 12:03:00,3
5109,2020-03-25 12:03:00,1
5111,2020-03-25 12:03:00,3
5113,2020-03-25 12:03:00,2
5115,2020-03-25 12:03:00,2
5119,2020-03-25 12:03:00,64
5125,2020-03-25 12:03:00,4
5129,2020-03-25 12:03:00,2
5131,2020-03-25 12:03:00,1
5133,2020-03-25 12:03:00,1
5137,2020-03-25 12:03:00,2
5139,2020-03-25 12:03:00,1
5141,2020-03-25 12:03:00,7
5143,2020-03-25 12:03:00,6
5145,2020-03-25 12:03:00,3
5147,2020-03-25 12:03:00,1
6001,2020-03-25 12:03:00,151
6005,2020-03-25 12:03:00,1
6007,2020-03-25 12:03:00,4
6009,2020-03-25 12:03:00,2
6013,2020-03-25 12:03:00,86
6017,2020-03-25 12:03:00,3
6019,2020-03-25 12:03:00,18
6023,2020-03-25 12:03:00,5
6025,2020-03-25 12:03:00,9
6029,2020-03-25 12:03:00,14
6037,2020-03-25 12:03:00,662
6039,2020-03-25 12:03:00,6
6041,2020-03-25 12:03:00,53
6045,2020-03-25 12:03:00,2
6047,2020-03-25 12:03:00,1
6051,2020-03-25 12:03:00,2
6053,2020-03-25 12:03:00,20
6055,2020-03-25 12:03:00,3
6057,2020-03-25 12:03:00,4
6059,2020-03-25 12:03:00,152
6061,2020-03-25 12:03:00,26
6065,2020-03-25 12:03:00,59
6067,2020-03-25 12:03:00,87
6069,2020-03-25 12:03:00,7
6071,2020-03-25 12:03:00,38
6073,2020-03-25 12:03:00,242
6075,2020-03-25 12:03:00,152
6077,2020-03-25 12:03:00,60
6079,2020-03-25 12:03:00,42
6081,2020-03-25 12:03:00,161
6083,2020-03-25 12:03:00,24
6085,2020-03-25 12:03:00,375
6087,2020-03-25 12:03:00,24
6089,2020-03-25 12:03:00,3
6093,2020-03-25 12:03:00,3
6095,2020-03-25 12:03:00,29
6097,2020-03-25 12:03:00,34
6099,2020-03-25 12:03:00,11
6107,2020-03-25 12:03:00,17
6111,2020-03-25 12:03:00,39
6113,2020-03-25 12:03:00,10
6115,2020-03-25 12:03:00,3
8001,2020-03-25 12:03:00,27
8005,2020-03-25 12:03:00,69
8013,2020-03-25 12:03:00,49
8015,2020-03-25 12:03:00,3
8019,2020-03-25 12:03:00,3
8025,2020-03-25 12:03:00,1
8029,2020-03-25 12:03:00,1
8031,2020-03-25 12:03:00,176
8035,2020-03-25 12:03:00,53
8037,2020-03-25 12:03:00,96
8041,2020-03-25 12:03:00,106
8039,2020-03-25 12:03:00,3
8043,2020-03-25 12:03:00,1
8045,2020-03-25 12:03:00,10
8049,2020-03-25 12:03:00,2
8051,2020-03-25 12:03:00,40
8053,2020-03-25 12:03:00,1
8055,2020-03-25 12:03:00,1
8059,2020-03-25 12:03:00,73
8067,2020-03-25 12:03:00,1
8069,2020-03-25 12:03:00,43
8075,2020-03-25 12:03:00,2
8077,2020-03-25 12:03:00,5
8085,2020-03-25 12:03:00,3
8087,2020-03-25 12:03:00,3
8093,2020-03-25 12:03:00,1
8097,2020-03-25 12:03:00,18
8101,2020-03-25 12:03:00,3
8107,2020-03-25 12:03:00,4
8113,2020-03-25 12:03:00,1
8117,2020-03-25 12:03:00,10
8119,2020-03-25 12:03:00,3
8123,2020-03-25 12:03:00,76
8125,2020-03-25 12:03:00,1
9001,2020-03-25 12:03:00,384
9003,2020-03-25 12:03:00,88
9005,2020-03-25 12:03:00,22
9007,2020-03-25 12:03:00,8
9009,2020-03-25 12:03:00,89
9011,2020-03-25 12:03:00,6
9013,2020-03-25 12:03:00,19
9015,2020-03-25 12:03:00,2
10001,2020-03-25 12:03:00,10
10003,2020-03-25 12:03:00,71
10005,2020-03-25 12:03:00,23
11001,2020-03-25 12:03:00,183
12001,2020-03-25 12:03:00,37
12003,2020-03-25 12:03:00,4
12005,2020-03-25 12:03:00,1
12007,2020-03-25 12:03:00,1
12009,2020-03-25 12:03:00,9
12011,2020-03-25 12:03:00,312
12015,2020-03-25 12:03:00,3
12017,2020-03-25 12:03:00,9
12019,2020-03-25 12:03:00,10
12021,2020-03-25 12:03:00,41
12023,2020-03-25 12:03:00,3
12027,2020-03-25 12:03:00,1
12031,2020-03-25 12:03:00,50
12033,2020-03-25 12:03:00,13
12035,2020-03-25 12:03:00,4
12053,2020-03-25 12:03:00,7
12055,2020-03-25 12:03:00,4
12057,2020-03-25 12:03:00,95
12061,2020-03-25 12:03:00,12
12063,2020-03-25 12:03:00,1
12069,2020-03-25 12:03:00,14
12071,2020-03-25 12:03:00,34
12073,2020-03-25 12:03:00,6
12081,2020-03-25 12:03:00,16
12083,2020-03-25 12:03:00,4
12085,2020-03-25 12:03:00,4
12087,2020-03-25 12:03:00,3
12089,2020-03-25 12:03:00,1
12091,2020-03-25 12:03:00,12
12095,2020-03-25 12:03:00,50
12097,2020-03-25 12:03:00,26
12099,2020-03-25 12:03:00,102
12101,2020-03-25 12:03:00,16
12103,2020-03-25 12:03:00,45
12105,2020-03-25 12:03:00,13
12107,2020-03-25 12:03:00,2
12113,2020-03-25 12:03:00,6
12115,2020-03-25 12:03:00,26
12117,2020-03-25 12:03:00,25
12109,2020-03-25 12:03:00,24
12111,2020-03-25 12:03:00,6
12119,2020-03-25 12:03:00,10
12127,2020-03-25 12:03:00,19
12131,2020-03-25 12:03:00,10
13007,2020-03-25 12:03:00,3
13009,2020-03-25 12:03:00,2
13013,2020-03-25 12:03:00,2
13015,2020-03-25 12:03:00,76
13017,2020-03-25 12:03:00,1
13021,2020-03-25 12:03:00,4
13029,2020-03-25 12:03:00,2
13033,2020-03-25 12:03:00,1
13035,2020-03-25 12:03:00,2
13039,2020-03-25 12:03:00,1
13045,2020-03-25 12:03:00,26
13047,2020-03-25 12:03:00,1
13049,2020-03-25 12:03:00,1
13051,2020-03-25 12:03:00,7
